epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,324.949,0.81353,0.59757,1.04074,0.99779,0.99879,0.995,0.78209,0.82822,0.40289,1.03761,0.00110645,0.00110645,0.00110645
60,329.233,0.86914,0.63817,1.08374,0.99711,0.9999,0.995,0.83747,0.66889,0.39402,0.95378,0.00110397,0.00110397,0.00110397
61,333.681,0.79804,0.5586,1.03191,0.99759,0.99859,0.995,0.79893,0.76217,0.38755,1.00092,0.0011015,0.0011015,0.0011015
62,340.753,0.82077,0.60489,1.05343,0.99838,0.99772,0.995,0.82729,0.68834,0.35715,0.95303,0.00109903,0.00109903,0.00109903
63,345.616,0.8101,0.56963,1.06464,0.9953,0.99946,0.995,0.80302,0.77484,0.37744,0.99945,0.00109655,0.00109655,0.00109655
64,349.94,0.79747,0.57182,1.04383,0.99903,0.99837,0.995,0.83031,0.68962,0.35486,0.94878,0.00109408,0.00109408,0.00109408
65,355.978,0.80709,0.58419,1.02669,0.99512,1,0.99498,0.82666,0.68695,0.34894,0.95172,0.0010916,0.0010916,0.0010916
66,361.365,0.77156,0.54831,1.02074,0.99666,0.99762,0.995,0.83261,0.6641,0.34907,0.94126,0.00108913,0.00108913,0.00108913
67,365.776,0.79289,0.55472,1.04092,0.99761,0.99762,0.995,0.83402,0.67863,0.34908,0.94731,0.00108665,0.00108665,0.00108665
68,370.951,0.74954,0.56479,1.02631,0.99673,0.99944,0.99495,0.853,0.61634,0.34048,0.92365,0.00108417,0.00108417,0.00108417
69,377.337,0.74958,0.52407,1.0181,0.99793,0.99794,0.995,0.8348,0.69233,0.34672,0.95637,0.0010817,0.0010817,0.0010817
70,381.556,0.76946,0.53789,1.02672,0.99787,0.99958,0.995,0.84538,0.65055,0.33416,0.93647,0.00107923,0.00107923,0.00107923
71,385.884,0.77429,0.51992,1.01953,0.99741,0.99949,0.995,0.83744,0.65425,0.33782,0.93895,0.00107675,0.00107675,0.00107675
72,392.844,0.76659,0.52058,1.02688,0.99878,1,0.995,0.83211,0.65807,0.33766,0.94065,0.00107427,0.00107427,0.00107427
73,397.214,0.74848,0.52827,1.02144,0.99842,0.99948,0.995,0.84463,0.63381,0.32905,0.92343,0.0010718,0.0010718,0.0010718
74,401.638,0.77078,0.55117,1.01759,0.99706,0.99847,0.995,0.81794,0.72047,0.34247,0.96261,0.00106933,0.00106933,0.00106933
75,407.968,0.76529,0.56761,1.03074,0.99431,0.99073,0.99483,0.82643,0.7096,0.35609,0.95939,0.00106685,0.00106685,0.00106685
76,412.945,0.74924,0.53647,1.02478,0.98333,0.99736,0.995,0.76689,0.8997,0.39856,1.0692,0.00106437,0.00106437,0.00106437
77,417.264,0.7532,0.54589,1.02354,0.99615,1,0.995,0.83957,0.65139,0.33132,0.94016,0.0010619,0.0010619,0.0010619
78,422.276,0.75786,0.51606,1.00934,0.99805,0.99981,0.995,0.84822,0.6333,0.34685,0.92806,0.00105942,0.00105942,0.00105942
79,428.506,0.745,0.54246,1.02858,0.99651,1,0.995,0.84105,0.64836,0.34575,0.93104,0.00105695,0.00105695,0.00105695
80,432.86,0.74151,0.50442,0.9999,0.99597,1,0.995,0.81104,0.72519,0.35843,0.97447,0.00105448,0.00105448,0.00105448
81,437.128,0.74033,0.53657,1.0179,0.99638,1,0.995,0.83886,0.6713,0.3422,0.93958,0.001052,0.001052,0.001052
82,444.488,0.78053,0.53046,1.02576,0.9978,1,0.995,0.8523,0.61185,0.32694,0.9231,0.00104952,0.00104952,0.00104952
83,450.496,0.74693,0.51302,1.03835,0.99904,1,0.995,0.84994,0.61697,0.32197,0.92272,0.00104705,0.00104705,0.00104705
84,454.911,0.71158,0.49235,1.00167,0.9986,1,0.995,0.85664,0.61227,0.32106,0.91611,0.00104458,0.00104458,0.00104458
85,461.779,0.70105,0.5028,0.97585,0.99884,1,0.995,0.86027,0.59864,0.31322,0.90677,0.0010421,0.0010421,0.0010421
86,466.449,0.71136,0.48968,0.99276,0.9987,0.99966,0.995,0.85291,0.61293,0.31442,0.91334,0.00103962,0.00103962,0.00103962
87,470.804,0.69266,0.47939,1.00765,0.99886,1,0.995,0.85431,0.61199,0.31806,0.90883,0.00103715,0.00103715,0.00103715
88,476.685,0.73177,0.52699,0.99833,0.99908,0.99997,0.995,0.84427,0.65086,0.32305,0.92762,0.00103468,0.00103468,0.00103468
89,482.351,0.7208,0.48045,1.01367,0.99849,0.99888,0.995,0.86223,0.58488,0.31195,0.90093,0.0010322,0.0010322,0.0010322
90,486.698,0.72365,0.48288,1.01209,0.99846,1,0.995,0.84311,0.6348,0.31933,0.91804,0.00102972,0.00102972,0.00102972
91,491.596,0.68869,0.48566,0.99667,0.99871,1,0.995,0.85697,0.60327,0.31451,0.90519,0.00102725,0.00102725,0.00102725
92,498.048,0.7036,0.47555,0.98878,0.99876,0.99968,0.995,0.87005,0.57022,0.30538,0.89883,0.00102478,0.00102478,0.00102478
93,502.363,0.69658,0.448,1.00044,0.99928,0.99832,0.995,0.87067,0.55395,0.29502,0.89307,0.0010223,0.0010223,0.0010223
94,506.68,0.74057,0.48505,1.00407,0.99894,0.99848,0.995,0.85884,0.59294,0.3006,0.90804,0.00101983,0.00101983,0.00101983
95,513.808,0.6855,0.45069,0.97815,0.99905,0.99981,0.995,0.8487,0.6372,0.31196,0.92846,0.00101735,0.00101735,0.00101735
96,518.341,0.70502,0.47034,1.00427,0.99842,0.99855,0.995,0.85652,0.61118,0.30928,0.91129,0.00101488,0.00101488,0.00101488
97,522.717,0.72203,0.45936,0.97545,0.99902,1,0.995,0.8666,0.57463,0.30826,0.89846,0.0010124,0.0010124,0.0010124
98,529.091,0.71117,0.48767,0.99725,0.99841,1,0.995,0.86058,0.58857,0.30571,0.90422,0.00100993,0.00100993,0.00100993
99,533.575,0.6562,0.46523,0.9902,0.99864,1,0.995,0.87374,0.55654,0.30134,0.88867,0.00100745,0.00100745,0.00100745
100,538.02,0.68172,0.45746,0.9909,0.99866,1,0.995,0.85345,0.62275,0.30674,0.9148,0.00100497,0.00100497,0.00100497
101,544.072,0.70749,0.485,1.00093,0.99902,1,0.995,0.85703,0.59228,0.29956,0.90527,0.0010025,0.0010025,0.0010025
102,549.702,0.68247,0.48546,0.9906,0.99881,0.99966,0.995,0.87906,0.52983,0.28393,0.87999,0.00100003,0.00100003,0.00100003
103,554.066,0.68131,0.47721,1.00581,0.99863,0.99979,0.995,0.86303,0.56951,0.29316,0.8925,0.00099755,0.00099755,0.00099755
104,559.065,0.66839,0.46674,0.99367,0.99723,1,0.995,0.87269,0.54011,0.28636,0.88118,0.000995075,0.000995075,0.000995075
105,565.739,0.68264,0.47092,0.98549,0.997,1,0.995,0.88195,0.52863,0.284,0.87639,0.0009926,0.0009926,0.0009926
106,570.267,0.68823,0.46596,1.00231,0.99571,0.9995,0.995,0.83414,0.6757,0.31459,0.94698,0.000990125,0.000990125,0.000990125
107,574.621,0.69808,0.47718,0.99322,0.99869,0.99795,0.995,0.87753,0.53916,0.293,0.88583,0.00098765,0.00098765,0.00098765
108,581.698,0.64472,0.44853,0.96915,0.99696,1,0.995,0.8521,0.62493,0.29828,0.91772,0.000985175,0.000985175,0.000985175
109,586.12,0.68851,0.46693,1.00533,0.99755,1,0.995,0.88641,0.5045,0.27018,0.86807,0.0009827,0.0009827,0.0009827
110,590.496,0.66257,0.47138,0.98588,0.9975,1,0.995,0.87641,0.5357,0.27967,0.88145,0.000980225,0.000980225,0.000980225
111,596.73,0.63884,0.45207,0.96596,0.99884,1,0.995,0.87306,0.54557,0.2803,0.88751,0.00097775,0.00097775,0.00097775
112,601.529,0.6383,0.44897,0.98245,0.99913,1,0.995,0.87638,0.55767,0.28446,0.89395,0.000975275,0.000975275,0.000975275
113,605.808,0.66714,0.44293,0.99262,0.99919,1,0.995,0.88478,0.52212,0.27134,0.87926,0.0009728,0.0009728,0.0009728
114,611.653,0.6588,0.46755,0.99073,0.9983,0.99963,0.995,0.87173,0.55257,0.27841,0.89216,0.000970325,0.000970325,0.000970325
115,617.153,0.62178,0.45747,0.97372,0.99912,0.99838,0.995,0.88657,0.51167,0.26825,0.87391,0.00096785,0.00096785,0.00096785
116,621.603,0.64488,0.44602,0.98427,0.99845,0.99594,0.995,0.88716,0.50323,0.27677,0.86893,0.000965375,0.000965375,0.000965375
117,626.627,0.68111,0.46613,1.00742,0.99627,0.99387,0.995,0.89137,0.48272,0.27272,0.86179,0.0009629,0.0009629,0.0009629
118,633.758,0.60791,0.44301,0.95371,0.99862,1,0.995,0.87245,0.55287,0.28147,0.88666,0.000960425,0.000960425,0.000960425
119,641.056,0.63636,0.45084,0.95834,0.9985,1,0.995,0.88021,0.52202,0.27548,0.87738,0.00095795,0.00095795,0.00095795
120,647.682,0.6127,0.43522,0.97061,0.9982,1,0.995,0.88018,0.53566,0.28938,0.88624,0.000955475,0.000955475,0.000955475
121,653.004,0.63006,0.4451,0.96547,0.99817,1,0.995,0.8853,0.51869,0.29878,0.8837,0.000953,0.000953,0.000953
122,657.317,0.5925,0.42929,0.9643,0.99912,1,0.995,0.88595,0.51154,0.27345,0.87654,0.000950525,0.000950525,0.000950525
123,662.576,0.60954,0.42263,0.97543,0.9987,1,0.995,0.87572,0.55331,0.27702,0.89025,0.00094805,0.00094805,0.00094805
124,668.782,0.60497,0.42615,0.96522,0.99859,1,0.995,0.88216,0.5182,0.28004,0.87826,0.000945575,0.000945575,0.000945575
125,673.117,0.6421,0.4507,0.9772,0.99677,1,0.995,0.87594,0.52254,0.28001,0.88074,0.0009431,0.0009431,0.0009431
126,677.51,0.63806,0.45079,0.97943,0.99917,1,0.995,0.87347,0.54231,0.27598,0.88359,0.000940625,0.000940625,0.000940625
127,684.377,0.63873,0.46471,0.97643,0.99857,1,0.995,0.87606,0.52549,0.26798,0.87691,0.00093815,0.00093815,0.00093815
128,688.695,0.6026,0.43202,0.95854,0.99853,1,0.995,0.88816,0.51756,0.26314,0.87237,0.000935675,0.000935675,0.000935675
129,693.066,0.59268,0.41106,0.95737,0.99805,0.99998,0.995,0.89884,0.47757,0.25956,0.85471,0.0009332,0.0009332,0.0009332
130,699.642,0.63879,0.46271,0.98687,0.99885,0.99855,0.995,0.89034,0.50587,0.27076,0.86799,0.000930725,0.000930725,0.000930725
131,704.916,0.60644,0.42665,0.94599,0.99907,0.99989,0.995,0.88975,0.49199,0.2674,0.86041,0.00092825,0.00092825,0.00092825
132,709.329,0.68874,0.49508,1.01433,0.99907,1,0.995,0.86678,0.57487,0.2816,0.90071,0.000925775,0.000925775,0.000925775
133,714.638,0.64482,0.41286,0.97871,0.99904,1,0.995,0.89166,0.49915,0.26201,0.87287,0.0009233,0.0009233,0.0009233
134,721.28,0.65188,0.46773,0.98273,0.99922,1,0.995,0.88517,0.52139,0.26726,0.87499,0.000920825,0.000920825,0.000920825
135,725.71,0.63467,0.43901,0.9723,0.99928,1,0.995,0.8905,0.48809,0.26039,0.86094,0.00091835,0.00091835,0.00091835
136,730.269,0.63519,0.42444,0.98328,0.99903,1,0.995,0.89506,0.47152,0.26198,0.85581,0.000915875,0.000915875,0.000915875
137,737.216,0.6097,0.41247,0.95312,0.99888,1,0.995,0.8991,0.46224,0.25483,0.84861,0.0009134,0.0009134,0.0009134
138,741.715,0.60287,0.44243,0.96431,0.99912,1,0.995,0.90229,0.44926,0.24709,0.84343,0.000910925,0.000910925,0.000910925
139,746.123,0.65083,0.41235,0.95628,0.9988,1,0.995,0.89399,0.47944,0.25315,0.85344,0.00090845,0.00090845,0.00090845
140,752.725,0.59903,0.39858,0.9532,0.99908,1,0.995,0.90408,0.44411,0.24605,0.84284,0.000905975,0.000905975,0.000905975
141,757.523,0.58194,0.39702,0.94354,0.99893,1,0.995,0.90403,0.44514,0.24852,0.84167,0.0009035,0.0009035,0.0009035
142,761.935,0.57665,0.37943,0.94804,0.99837,1,0.995,0.90771,0.43166,0.24333,0.83737,0.000901025,0.000901025,0.000901025
143,767.605,0.57593,0.40376,0.94913,0.99871,1,0.995,0.90176,0.45981,0.24558,0.84452,0.00089855,0.00089855,0.00089855
144,773.282,0.59642,0.43276,0.96469,0.99919,1,0.995,0.8995,0.46975,0.25484,0.84794,0.000896075,0.000896075,0.000896075
145,777.529,0.59974,0.40204,0.95813,0.99896,1,0.995,0.90036,0.47712,0.24751,0.85018,0.0008936,0.0008936,0.0008936
146,782.03,0.58916,0.42324,0.95298,0.9993,1,0.995,0.91177,0.44211,0.24272,0.83943,0.000891125,0.000891125,0.000891125
147,788.876,0.56092,0.38641,0.92468,0.99894,1,0.995,0.92165,0.40557,0.23997,0.82747,0.00088865,0.00088865,0.00088865
148,793.277,0.57486,0.39904,0.94086,0.99921,1,0.995,0.91974,0.40971,0.23524,0.82947,0.000886175,0.000886175,0.000886175
149,797.553,0.56765,0.39785,0.9428,0.99938,1,0.995,0.91281,0.43445,0.23823,0.83463,0.0008837,0.0008837,0.0008837
150,804.309,0.55464,0.39067,0.93298,0.9993,1,0.995,0.9169,0.41939,0.24149,0.83253,0.000881225,0.000881225,0.000881225
151,809.171,0.56959,0.39917,0.94265,0.99932,1,0.995,0.90558,0.45175,0.2446,0.84374,0.00087875,0.00087875,0.00087875
152,813.476,0.57997,0.39518,0.95033,0.99881,1,0.995,0.88551,0.50486,0.26302,0.85801,0.000876275,0.000876275,0.000876275
153,818.928,0.56636,0.40579,0.93718,0.99897,1,0.995,0.91066,0.43063,0.24892,0.83691,0.0008738,0.0008738,0.0008738
154,824.892,0.55299,0.41198,0.92929,0.99893,1,0.995,0.90462,0.46527,0.2494,0.85085,0.000871325,0.000871325,0.000871325
155,830.478,0.60498,0.41934,0.96001,0.99906,1,0.995,0.90472,0.44799,0.24364,0.84506,0.00086885,0.00086885,0.00086885
156,837.978,0.54631,0.39345,0.95099,0.99921,1,0.995,0.91611,0.41934,0.23741,0.83456,0.000866375,0.000866375,0.000866375
157,844.023,0.55139,0.38268,0.94794,0.99882,0.99795,0.995,0.90063,0.45382,0.25315,0.8411,0.0008639,0.0008639,0.0008639
158,848.357,0.55606,0.40308,0.93305,0.99924,1,0.995,0.91066,0.42641,0.24714,0.83739,0.000861425,0.000861425,0.000861425
159,853.103,0.54852,0.38756,0.93272,0.99842,1,0.995,0.91649,0.40512,0.24179,0.82939,0.00085895,0.00085895,0.00085895
160,860.186,0.56552,0.40541,0.95814,0.9991,1,0.995,0.91951,0.40063,0.23366,0.82748,0.000856475,0.000856475,0.000856475
161,864.461,0.57645,0.3903,0.94438,0.99664,1,0.995,0.91273,0.42722,0.23816,0.83487,0.000854,0.000854,0.000854
162,868.802,0.53269,0.36736,0.94528,0.99897,1,0.995,0.91224,0.43634,0.23825,0.83927,0.000851525,0.000851525,0.000851525
163,875.532,0.57352,0.40281,0.94459,0.99878,1,0.995,0.90603,0.43621,0.24414,0.83869,0.00084905,0.00084905,0.00084905
164,880.657,0.56027,0.36888,0.92772,0.99913,1,0.995,0.91952,0.39975,0.23508,0.82795,0.000846575,0.000846575,0.000846575
165,885.015,0.51812,0.36819,0.92211,0.99918,1,0.995,0.9135,0.42593,0.23627,0.83382,0.0008441,0.0008441,0.0008441
166,890.631,0.55097,0.38337,0.94669,0.99912,1,0.995,0.92052,0.40731,0.23303,0.83122,0.000841625,0.000841625,0.000841625
167,896.137,0.5535,0.38449,0.93713,0.99881,1,0.995,0.91718,0.4145,0.23303,0.83163,0.00083915,0.00083915,0.00083915
168,900.382,0.55002,0.40181,0.95484,0.9991,1,0.995,0.91894,0.41061,0.23259,0.82766,0.000836675,0.000836675,0.000836675
169,905.141,0.54108,0.38945,0.94482,0.99908,1,0.995,0.90761,0.46217,0.24591,0.8428,0.0008342,0.0008342,0.0008342
170,912.001,0.54101,0.41176,0.94573,0.99867,1,0.995,0.92699,0.39174,0.23548,0.82382,0.000831725,0.000831725,0.000831725
171,916.332,0.5797,0.41272,0.96802,0.99842,1,0.995,0.89855,0.47858,0.24964,0.85062,0.00082925,0.00082925,0.00082925
172,920.756,0.58684,0.39568,0.95341,0.99922,0.9992,0.995,0.91085,0.44404,0.24224,0.84331,0.000826775,0.000826775,0.000826775
173,927.394,0.547,0.40222,0.93473,0.999,1,0.995,0.89807,0.48195,0.24985,0.86162,0.0008243,0.0008243,0.0008243
174,932.222,0.54418,0.38566,0.92771,0.99914,1,0.995,0.91264,0.43477,0.24458,0.83968,0.000821825,0.000821825,0.000821825
175,936.502,0.59297,0.43625,0.97009,0.99928,1,0.995,0.92113,0.41858,0.23716,0.83119,0.00081935,0.00081935,0.00081935
176,942.138,0.54056,0.39413,0.941,0.99918,1,0.995,0.91054,0.43861,0.23814,0.836,0.000816875,0.000816875,0.000816875
177,947.853,0.56077,0.39915,0.94027,0.99919,1,0.995,0.91899,0.409,0.2353,0.82806,0.0008144,0.0008144,0.0008144
178,952.11,0.5144,0.35872,0.91437,0.99893,1,0.995,0.92374,0.39006,0.22592,0.82445,0.000811925,0.000811925,0.000811925
